"Data Source","World Development Indicators",

"Last Updated Date","2024-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Estonia","EST","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ethiopia","ETH","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.38333333333333","3.39166666666667","3.41666666666667","3.4","3.40833333333333","3.40833333333333","3.45833333333333","3.44166666666667","3.44166666666667","3.46666666666667","3.49167","3.46666666666667","3.425","3.45","3.46666666666667","3.53333333333333","3.391667","3.308333","3.15",
"European Union","EUU","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fragile and conflict affected situations","FCS","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.95688405797101","2.911","2.91566666666667","2.9","2.96730769230769","2.97820512820513","2.97946428571428","2.94305555555556","2.93655913978495","2.94543096774194","2.92607548387097","2.87688172043011","2.81041666666667","2.84139784946237","2.81276039583333","2.80390625","2.78602151612903","2.75104165625","2.72500003125",
"Finland","FIN","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fiji","FJI","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.41666666666667","3.483333","3.458333","3.458333",
"France","FRA","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Faroe Islands","FRO","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.70833333333333","2.69166666666667","2.69166666666667","2.73333","2.775","2.75","2.75","2.75","2.725","2.75","2.775","2.775","2.775",
"Gabon","GAB","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
